trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
149,False,"{'a': 0.5, 'e': 0.22537265553943875}",25,17,-5.433886625863947,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.22313016014842985}",20,0,19.290128843557067,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.22090997795937822}",20,7,-16.095039936577113,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.21871188695221477}",20,12,15.007509742529479,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21653566731600707}",25,11,3.261702534304987,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21438110142697797}",20,15,2.204661526675025,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.21224797382674307}",20,9,-21.44334545493934,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
156,False,"{'a': 0.5, 'e': 0.21013607120076475}",20,14,0.5303154974648763,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.20804518235702046}",25,18,9.429900199137043,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20597509820488347}",25,13,23.851569138520897,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.20392561173421345}",20,6,10.981878166891864,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.2018965179946554}",20,11,-25.800611700267286,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
161,False,"{'a': 0.5, 'e': 0.1998876140751445}",20,12,-16.273076873066415,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.19789869908361468}",25,11,-28.272752618643768,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
163,False,"{'a': 0.5, 'e': 0.19592957412690934}",30,14,28.34037096047732,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.19398004229089189}",25,14,-4.578222357617938,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.1920499086207541}",30,21,2.8094713946467635,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.19013898010152053}",30,15,-20.055612928590207,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.1882470656387468}",20,12,18.116475858406112,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.18637397603941}",20,12,15.993618539057941,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
